round,loss,accuracy,precision,recall,f1,auc
1,7.35333553314209,0.7533333333333333,0.29766081871345024,0.9166666666666666,0.43038631060409654,0.8131895621338268
2,17.004641443888346,0.7533333333333333,0.3094255245958032,1.0,0.45210727969348663,0.8504316990440951
3,7.787922639846801,0.8666666666666667,0.43452380952380953,0.75,0.5303030303030302,0.8587958680234351
4,21.08801797747612,0.88,0.611111111111111,0.3722222222222222,0.37671957671957673,0.8331844228594923
5,270.3639766438802,0.8866666666666667,0.0,0.0,0.0,0.37206675917360466
6,54.16713353474935,0.74,0.2905701754385965,0.9166666666666666,0.4207941483803553,0.801518655565834
7,94.08554962158203,0.7266666666666667,0.1865079365079365,0.38888888888888884,0.22994652406417113,0.501348417103505
8,95.3257329305013,0.7533333333333333,0.15277777777777776,0.21111111111111108,0.15555555555555556,0.3250096361393771
9,114.14166620890299,0.14666666666666667,0.11170212765957446,0.9666666666666667,0.1949515438359252,0.5058784304656182
10,616.7977433268229,0.8866666666666667,0.0,0.0,0.0,0.37198967005858774
11,622.6924434407553,0.88,0.0,0.0,0.0,0.13779293863706446
12,218.65550028483074,0.6666666666666666,0.12792207792207794,0.4277777777777777,0.18650793650793648,0.4549874087778806
13,529.2908923339844,0.8866666666666667,0.0,0.0,0.0,0.45473327166204136
14,121.97187723795572,0.6066666666666667,0.07936507936507936,0.16666666666666666,0.10752688172043011,0.2164257631822387
15,70.14764536539714,0.82,0.32371794871794873,0.6277777777777778,0.4101371774006045,0.6997142563470038
16,580.9461393229167,0.4866666666666667,0.0,0.0,0.0,0.15321847055195809
17,139.00947458902994,0.7266666666666667,0.2650793650793651,0.8833333333333333,0.39404964022960626,0.7995031606537156
18,258.8230638631185,0.88,0.43434343434343425,0.5944444444444443,0.4962962962962963,0.6799820125398295
19,218.64081329345703,0.8733333333333333,0.42619047619047623,0.7722222222222221,0.543030303030303,0.803571281735019
20,196.50445587158202,0.7666666666666667,0.2901709401709402,0.8555555555555554,0.4236842105263158,0.7969775927639017
21,251.00623870849608,0.8733333333333333,0.3948412698412699,0.6611111111111111,0.49074074074074076,0.7392387449892075
22,563.258945719401,0.8733333333333333,0.22222222222222218,0.13333333333333333,0.16666666666666666,0.5211100832562443
23,653.8522013346354,0.86,0.19047619047619047,0.13333333333333333,0.1568627450980392,0.5255666049953747
