round,loss,accuracy,precision,recall,f1,auc
1,7.353335831960043,0.7533333333333333,0.2976608187134503,0.9166666666666666,0.43038631060409643,0.8131895621338268
2,27.96879708925883,0.7533333333333333,0.3094255245958032,1.0,0.45210727969348663,0.8622070613629357
3,148.6017357381185,0.8866666666666667,0.0,0.0,0.0,0.33875655257477644
4,53.463170373773636,0.84,0.31746031746031744,0.28888888888888886,0.3006535947712418,0.7269666718059409
5,592.0442179361979,0.8866666666666667,0.0,0.0,0.0,0.49221014492753623
6,126.53659047444661,0.7533333333333333,0.30942552459580325,1.0,0.45210727969348663,0.8658302497687328
7,392.792709757487,0.7066666666666667,0.17264957264957267,0.38888888888888884,0.21900161030595816,0.4995368229006065
8,277.53008209228517,0.62,0.12554112554112554,0.3555555555555555,0.16444444444444442,0.3217794737383081
9,425.21575052897134,0.14,0.11111111111111109,0.9666666666666667,0.19394601341863008,0.5018385753931545
10,1851.4482763671874,0.8866666666666667,0.0,0.0,0.0,0.4659921369102683
11,2271.733865559896,0.8333333333333334,0.0,0.0,0.0,0.3128507554733272
12,1312.2245638020834,0.7,0.041666666666666664,0.03333333333333333,0.037037037037037035,0.24793709528214616
13,2057.4706103515623,0.8866666666666667,0.0,0.0,0.0,0.49637681159420294
14,1458.2820361328124,0.5866666666666667,0.0,0.0,0.0,0.16108541473943883
15,1226.2398779296875,0.36666666666666664,0.0,0.0,0.0,0.17102605612087574
16,2312.98857421875,0.29333333333333333,0.0,0.0,0.0,0.16393385753931547
17,404.5700858561198,0.5533333333333333,0.1893827160493827,0.9666666666666667,0.30745007680491554,0.7499973018809744
18,1333.009716796875,0.9,0.44444444444444436,0.23333333333333334,0.29304029304029305,0.5930164970706135
19,859.9985892740885,0.8866666666666667,0.4698412698412698,0.6277777777777778,0.5313131313131313,0.7654293863706445
20,801.6640254720052,0.46,0.13888888888888887,0.7444444444444444,0.22920021470746108,0.5767628995785795
21,1158.033819986979,0.8866666666666667,0.4666666666666667,0.561111111111111,0.5055555555555555,0.7691247815808407
22,2446.6801513671876,0.8666666666666667,0.16666666666666666,0.03333333333333333,0.055555555555555546,0.5017075238976256
23,2881.8678255208333,0.8666666666666667,0.16666666666666666,0.03333333333333333,0.055555555555555546,0.5017075238976256
24,1144.2925738525391,0.8733333333333333,0.4166666666666667,0.6777777777777777,0.5084175084175083,0.7940208397574263
25,879.4797888183593,0.8666666666666667,0.43333333333333335,0.9666666666666667,0.5843223443223443,0.9117715078630897
26,1210.2776326497396,0.3466666666666667,0.13767021571144503,0.9666666666666667,0.23519317636964696,0.6231325161887142
27,672.8631522623698,0.7533333333333333,0.2833333333333333,0.8555555555555554,0.4144249512670566,0.804835157775722
28,4298.265611979166,0.8,0.13333333333333333,0.06666666666666667,0.08888888888888889,0.4670251310514955
29,944.5821701049805,0.7333333333333333,0.26014820643976655,0.8555555555555554,0.3921356421356421,0.7849437249460377
30,932.7335416666666,0.25333333333333335,0.11628100896393578,0.8555555555555554,0.2000962000962001,0.5210693545071436
31,1012.600010172526,0.8466666666666667,0.3944444444444445,0.6777777777777777,0.4856254856254856,0.7667838421214924
32,1009.6969771321615,0.88,0.45,0.8555555555555554,0.5834343434343434,0.8670084284099084
33,1062.832705485026,0.8733333333333333,0.44444444444444436,0.9666666666666667,0.5971428571428571,0.9153176071538699
34,1258.1778936767578,0.8866666666666667,0.4738095238095238,0.8555555555555554,0.6036363636363637,0.8706316168157057
35,2569.621364034017,0.9,0.5277777777777777,0.5777777777777777,0.5285714285714285,0.7626708808716209
36,3093.4789052327474,0.8933333333333333,0.4722222222222222,0.31666666666666665,0.3525641025641026,0.6434512796793093
37,3594.1474837239584,0.9066666666666666,0.6666666666666666,0.15,0.24444444444444444,0.575
38,2149.716926269531,0.9266666666666666,0.6555555555555557,0.611111111111111,0.6157407407407408,0.7906735019015315
39,759.0473474121094,0.88,0.45,0.8555555555555554,0.5834343434343434,0.8670084284099087
40,1340.4964892578125,0.86,0.42045454545454547,1.0,0.5770451770451771,0.9187688868331791
41,972.1991748046875,0.88,0.45,0.8555555555555554,0.5834343434343434,0.8670084284099087
42,798.0674275716145,0.86,0.4172905525846703,1.0,0.5785375118708452,0.9206483194572926
43,1641.3925162760418,0.7866666666666666,0.3331766917293233,1.0,0.48329636351414934,0.8801688251618871
44,1305.4632112630209,0.8133333333333334,0.3653092006033183,1.0,0.5148874364560638,0.8956714461917977
45,775.7005932617187,0.84,0.39052287581699346,1.0,0.5469135802469136,0.9099329324699353
46,656.9304191080729,0.8533333333333334,0.4094276094276094,1.0,0.5714285714285714,0.9165587419056429
47,448.85706095377606,0.8866666666666667,0.49292929292929294,0.6722222222222222,0.5608465608465608,0.7921803371363964
48,631.194893391927,0.86,0.41729055258467024,1.0,0.5785375118708452,0.9206483194572926
49,882.3764180501302,0.9266666666666666,0.6944444444444445,0.5277777777777777,0.5916666666666667,0.752552934525645
50,1618.0954280598958,0.88,0.16666666666666666,0.08333333333333333,0.11111111111111109,0.5344973789700894
51,245.43201599121093,0.88,0.46825396825396826,0.9333333333333333,0.611111111111111,0.9058973172987974
52,649.5017130533854,0.8733333333333333,0.44166666666666665,1.0,0.6007326007326008,0.9284381745297564
53,4718.606399739583,0.88,0.0,0.0,0.0,0.49583333333333335
54,863.9754295349121,0.92,0.6317460317460317,0.8666666666666667,0.70682261208577,0.9030257477644157
55,742.4414933268229,0.8466666666666667,0.39962121212121215,0.9666666666666667,0.5514041514041514,0.9004355534998457
56,2611.4609342447916,0.9266666666666666,0.75,0.4944444444444444,0.5738095238095238,0.740052934525645
57,6861.014036458333,0.8866666666666667,0.0,0.0,0.0,0.5
58,8265.305774739583,0.8866666666666667,0.0,0.0,0.0,0.5
59,3352.226728515625,0.94,1.0,0.4944444444444444,0.6428571428571429,0.7472222222222222
60,1312.8592952473957,0.32,0.12726429895877905,0.8833333333333333,0.21654815772462835,0.5631779987665742
61,6225.311861979167,0.8866666666666667,0.0,0.0,0.0,0.5
62,2415.5714811197918,0.8866666666666667,0.3333333333333333,0.03333333333333333,0.060606060606060615,0.5131205673758865
63,11941.504583333333,0.8866666666666667,0.0,0.0,0.0,0.5
64,2913.7537174479166,0.82,0.4494949494949495,0.33888888888888885,0.22251082251082252,0.6194136087984377
65,2866.9222867838544,0.9266666666666666,0.8333333333333334,0.4111111111111111,0.546031746031746,0.7020094562647754
66,1389.0203458658855,0.7866666666666666,0.3109848484848484,0.7,0.39097744360902253,0.7387154383801007
67,1401.660884399414,0.7933333333333333,0.3488876319758673,0.9666666666666667,0.48763197586727,0.8719125809435707
68,4088.340693359375,0.9066666666666666,0.8333333333333334,0.26111111111111107,0.37777777777777777,0.6270094562647754
