round,loss,accuracy,precision,recall,f1,auc
1,7.3533350944519045,0.7533333333333333,0.2976608187134503,0.9166666666666666,0.43038631060409654,0.8131895621338268
2,2.209230950673421,0.8733333333333333,0.44444444444444436,0.85,0.5707070707070706,0.8848643231575702
3,2.0859067567189533,0.8266666666666667,0.3685897435897436,0.9166666666666666,0.5073906485671191,0.9158973172987976
4,1.7164248339335124,0.8666666666666667,0.42222222222222217,0.8833333333333333,0.5605128205128206,0.9276545636756091
5,1.9175704288482667,0.86,0.4111111111111111,0.8833333333333333,0.5495238095238095,0.9266944187480728
6,1.9540727933247883,0.86,0.4111111111111111,0.8833333333333333,0.5495238095238095,0.9257886216466235
7,1.810054121017456,0.8666666666666667,0.42658730158730157,0.85,0.5555555555555555,0.9398600832562443
8,1.5429433655738831,0.8733333333333333,0.44444444444444436,0.9666666666666667,0.5971428571428571,0.941513259327783
9,1.32454363822937,0.86,0.4126984126984127,0.85,0.5427350427350427,0.9451996608078939
10,1.3907139031092326,0.88,0.46825396825396826,0.9333333333333333,0.611111111111111,0.9530077603042449
11,1.4616908089319864,0.88,0.45925925925925926,0.9666666666666667,0.6117948717948718,0.941513259327783
12,1.1490008274714152,0.8866666666666667,0.48290598290598286,0.85,0.5985507246376811,0.9734421574673655
13,1.0783419382572175,0.8866666666666667,0.4777777777777777,0.9666666666666667,0.6288888888888888,0.9607747456059205
14,0.8703934129079183,0.9,0.5158730158730158,0.9666666666666667,0.6590909090909092,0.9774730188097442
15,1.0052511771519979,0.9,0.5158730158730158,0.9666666666666667,0.6590909090909092,0.9647375115633673
16,0.9168815116087595,0.9,0.5158730158730158,0.9666666666666667,0.6590909090909092,0.9647375115633673
17,1.0057816735903422,0.8933333333333333,0.4920634920634921,0.9666666666666667,0.6388888888888888,0.9645247456059205
18,1.1359214878082275,0.9,0.5085470085470085,0.8833333333333333,0.6275362318840579,0.9764855072463767
19,0.9900282700856526,0.8933333333333333,0.4920634920634921,0.8833333333333333,0.6166666666666667,0.978025490800699
20,1.0733346927165985,0.8933333333333333,0.4920634920634921,0.9666666666666667,0.6388888888888888,0.9599460376194882
21,1.027287664016088,0.9333333333333333,0.6488095238095238,0.9,0.723905723905724,0.9758063521430775
22,0.9869634544849396,0.9,0.5158730158730158,0.9666666666666667,0.6590909090909092,0.9747012796793092
23,1.0174185228347778,0.88,0.47186147186147187,0.9666666666666667,0.6150793650793651,0.9695382362010484
24,0.8641802207628886,0.9,0.5085470085470085,0.8833333333333333,0.6275362318840579,0.9673733168876553
25,0.7803366309404374,0.9066666666666666,0.5323565323565324,0.9666666666666667,0.6699604743083004,0.9827536231884059
26,0.9815003367265066,0.8933333333333333,0.4920634920634921,0.9666666666666667,0.6388888888888888,0.9670382362010483
27,0.9629152697324753,0.9333333333333333,0.6488095238095238,0.9,0.723905723905724,0.9807971014492755
28,0.8852122489611308,0.9,0.5158730158730158,0.9666666666666667,0.6590909090909092,0.975602579915716
29,1.1885010671615601,0.9266666666666666,0.625,0.8166666666666667,0.6814814814814815,0.9782971014492754
30,0.8161551570892334,0.9,0.5158730158730158,0.9666666666666667,0.6590909090909092,0.9692573748586699
31,0.9654558744033178,0.8933333333333333,0.5067155067155068,0.9333333333333333,0.6409749670619236,0.97706084900812
32,0.777969804406166,0.8933333333333333,0.5067155067155067,0.9333333333333333,0.6409749670619236,0.9732881077191899
33,1.1443652495741845,0.9,0.5349206349206349,0.9,0.6424242424242425,0.974565474355021
34,1.0781320577859879,0.92,0.6071428571428571,0.9,0.6835016835016836,0.9799820125398294
35,0.9528299637635549,0.88,0.47179487179487184,0.9333333333333333,0.6079524340393906,0.9715625963613937
36,1.1072062041362127,0.92,0.6071428571428571,0.9,0.6835016835016835,0.9778895569945525
37,1.051254996061325,0.8866666666666667,0.48290598290598286,0.9333333333333333,0.6207729468599034,0.9680164970706138
38,0.9723737498124441,0.8866666666666667,0.48290598290598286,0.9333333333333333,0.6207729468599034,0.9732292630280605
39,1.455340926895539,0.9333333333333333,0.6746031746031745,0.8666666666666667,0.7241830065359477,0.9771921574673658
40,1.2673805455366771,0.8933333333333333,0.5277777777777777,0.9,0.6454545454545454,0.9723463356973995
41,0.9523425749937693,0.8933333333333333,0.5067155067155068,0.9333333333333333,0.6409749670619236,0.9668933086648167
42,1.3642719536398848,0.8933333333333333,0.5277777777777777,0.9,0.6454545454545454,0.9701089526158906
43,0.9883669861157736,0.8933333333333333,0.5067155067155067,0.9333333333333333,0.6409749670619236,0.9687049028677153
44,1.1708820625642935,0.8933333333333333,0.5067155067155068,0.9333333333333333,0.6409749670619236,0.9730164970706138
45,1.1592586764941613,0.9066666666666666,0.5376984126984127,0.9333333333333333,0.6666666666666666,0.9714856357282353
46,1.128402673304081,0.8933333333333333,0.5067155067155068,0.9333333333333333,0.6409749670619236,0.9687819919827322
47,1.1806838744630417,0.9266666666666666,0.6075036075036075,0.9333333333333333,0.7206349206349206,0.966612447322438
48,1.1491476672887802,0.8933333333333333,0.5067155067155068,0.9333333333333333,0.6409749670619236,0.9709331637372804
49,1.3545018821954726,0.9333333333333333,0.6583333333333333,0.8166666666666667,0.7037037037037036,0.9650817144619179
50,1.091549434463183,0.8933333333333333,0.5,0.9333333333333333,0.6313131313131313,0.9702356357282351
51,1.5503727201620738,0.9333333333333333,0.6746031746031745,0.8666666666666667,0.7241830065359477,0.9705257477644157
52,1.0484401506185532,0.8866666666666667,0.48290598290598286,0.9333333333333333,0.6207729468599034,0.9705164970706138
53,1.0672876559694608,0.92,0.5896464646464646,0.9333333333333333,0.7024531024531024,0.9738498304039471
54,1.2651298146819074,0.92,0.6,0.9333333333333333,0.7,0.971834463973687
55,1.3102415767140336,0.92,0.6,0.9333333333333333,0.7,0.9784512796793092
56,1.1051559261480968,0.9133333333333333,0.5579004329004329,0.9333333333333333,0.6782106782106782,0.9654304142255115
57,0.9092209414641063,0.8866666666666667,0.48290598290598286,0.9333333333333333,0.6207729468599034,0.9717664970706136
58,1.0260399130980171,0.9,0.5138888888888888,0.85,0.6242424242424243,0.9632701202590194
59,1.1395781709149013,0.9,0.5384615384615384,0.9333333333333333,0.6652173913043478,0.968859081097749
60,1.0577022965873282,0.9,0.5384615384615384,0.9333333333333333,0.6652173913043478,0.9706524308767602
61,0.9859073803822199,0.9066666666666666,0.5376984126984127,0.9333333333333333,0.6666666666666666,0.9624367869256861
62,1.1146766391396523,0.9133333333333333,0.5694444444444444,0.9333333333333333,0.6909090909090909,0.9730164970706136
63,1.038305589358012,0.9066666666666666,0.5376984126984127,0.9333333333333333,0.6666666666666666,0.9662637475588447
64,1.1110167568922042,0.9,0.5238095238095237,0.9333333333333333,0.6515151515151516,0.9709331637372802
65,0.9631070295969645,0.9,0.5138888888888888,0.85,0.6242424242424242,0.9617393873984994
66,1.1731748378276825,0.8933333333333333,0.5067155067155068,0.9333333333333333,0.6409749670619236,0.9730164970706138
67,1.0705137795209885,0.9,0.5238095238095237,0.9333333333333333,0.6515151515151516,0.9717664970706136
68,1.2858098782102267,0.9,0.5238095238095237,0.9333333333333333,0.6515151515151516,0.9709331637372804
69,1.4176992581994272,0.9133333333333333,0.5757575757575757,0.9333333333333333,0.6873015873015873,0.9721877890841814
70,2.676121055483818,0.92,0.6444444444444445,0.6666666666666666,0.625,0.968704902867715
71,1.2975998894373575,0.8933333333333333,0.5067155067155067,0.9333333333333333,0.6409749670619236,0.9673870644465002
72,1.2726091334720453,0.8933333333333333,0.5067155067155067,0.9333333333333333,0.6409749670619236,0.9673870644465
73,1.87469813366731,0.9333333333333333,0.6746031746031745,0.8666666666666667,0.7241830065359477,0.9771921574673658
74,1.4619513934136679,0.92,0.5896464646464646,0.9333333333333333,0.7024531024531024,0.9730164970706136
75,2.035405450661977,0.9266666666666666,0.625,0.7333333333333333,0.6481481481481481,0.9706524308767602
76,1.1944156849384309,0.9,0.5238095238095237,0.9333333333333333,0.6515151515151516,0.969954902867715
77,2.0363453177611035,0.9333333333333333,0.6296296296296297,0.7666666666666667,0.6695906432748537,0.9642483811285846
78,1.3748772147794563,0.9133333333333333,0.5757575757575757,0.9333333333333333,0.6873015873015873,0.971349830403947
79,1.4688381043076515,0.92,0.5896464646464646,0.9333333333333333,0.7024531024531024,0.9741985301675403
80,1.8577763531605402,0.94,0.6805555555555555,0.9,0.7481481481481482,0.9716306917463254
81,1.6099231112003327,0.94,0.662962962962963,0.85,0.7251461988304093,0.9714857642100935
82,1.3450092543661594,0.8933333333333333,0.5067155067155067,0.9333333333333333,0.6409749670619236,0.9738498304039469
